source,translated,context
"Finca Garval - Organic Extra Virgin Olive Oil","Finca Garval - Aceite de Oliva Virgen Extra Ecológico",
"From the Sierra de Cazorla","Desde la Sierra de Cazorla",
"Organic Extra Virgin Olive Oil","Aceite de Oliva Virgen Extra de origen ecológico",
"Discover the pure essence of our land. Extra virgin olive oil produced traditionally, respecting the environment and our family heritage.","Descubre la esencia pura de nuestra tierra. Aceite de oliva virgen extra producido de forma tradicional, respetando el medio ambiente y nuestra herencia familiar.",
"Visit Shop","Ver Tienda",
"About Us","Conócenos",
"Why Choose Us","Por Qué Elegirnos",
"The Excellence of Our Oil","La Excelencia de Nuestro Aceite",
"100% Purity","100% Pureza",
"Pure extra virgin olive oil, without blends or additives. Only the best juice from selected olives.","Aceite de oliva virgen extra puro, sin mezclas ni aditivos. Solo el mejor zumo de aceitunas seleccionadas.",
"Organic","Ecológico",
"Grown following certified organic practices. We respect the land and environment at every stage.","Cultivado siguiendo prácticas ecológicas certificadas. Respetamos la tierra y el medio ambiente en cada etapa.",
"Tradition","Tradición",
"Generations of family knowledge come together to create an oil with unique character and exceptional flavor.","Generaciones de conocimiento familiar se unen para crear un aceite con carácter único y sabor excepcional.",
"Learn More","Saber Más",
"Our Products","Nuestros Productos",
"Extra Virgin Olive Oil","Aceite de Oliva Virgen Extra",
"Select the format that best suits your needs","Selecciona el formato que mejor se adapte a tus necesidades",
"Out of Stock","Agotado",
"Add to Cart","Añadir",
"Unavailable","No Disponible",
"Coming Soon","Próximamente",
"We're preparing our products. Check back soon!","Estamos preparando nuestros productos. ¡Vuelve pronto!",
"View All Products","Ver Todos los Productos",
"A Gourmet Experience","Una Experiencia Gourmet",
"Discover the authentic taste of organic extra virgin olive oil. Direct from our farm to your table.","Descubre el auténtico sabor del aceite de oliva virgen extra ecológico. Directo desde nuestra finca a tu mesa.",
"Home","Inicio",
"Shop","Tienda",
"Contact","Contacto",
"My Account","Mi Cuenta",
"Cart","Carrito",
"Quick Links","Enlaces Rápidos",
"Customer Service","Atención al Cliente",
"Contact Us","Contacto",
"Shipping","Envíos",
"Returns","Devoluciones",
"All rights reserved.","Todos los derechos reservados.",
"Privacy Policy","Política de Privacidad",
"Legal Notice","Aviso Legal",
"Cookie Policy","Política de Cookies",
"Extra Virgin Olive Oil of organic origin, produced in the Sierra de Cazorla.","Aceite de Oliva Virgen Extra de origen ecológico, producido en la Sierra de Cazorla.",
"Quality Certificate","Certificado de Calidad",
"Funded by European Union","Financiado por la Unión Europea",
"Recovery Plan","Plan de Recuperación",
"Finca Garval - About Us","Finca Garval - Sobre Nosotros",
"ABOUT US","SOBRE NOSOTROS",
"In the rugged lands of the Sierra de Cazorla, where the pure mountain air mixes with the aroma of centuries-old olive trees, the exceptional Extra Virgin Olive Oil of Finca Garval is born.","En las escarpadas tierras de la Sierra de Cazorla, donde el aire puro de la montaña se mezcla con el aroma de los olivos centenarios, nace el excepcional Aceite de Oliva Virgen Extra de Finca Garval.",
